VCD info: dumpfile test.vcd opened for output.
   0 CK:0 CE:0 AR:1 CO:x Q:xxxxxxxx
 308 CK:0 CE:1 AR:1 CO:0 Q:01110100
 310 CK:1 CE:1 AR:1 CO:0 Q:01110101
 312 CK:0 CE:1 AR:1 CO:0 Q:01110101
 314 CK:1 CE:1 AR:1 CO:0 Q:01110110
 316 CK:0 CE:1 AR:1 CO:0 Q:01110110
 318 CK:1 CE:1 AR:1 CO:0 Q:01110111
 320 CK:0 CE:1 AR:1 CO:0 Q:01110111
 322 CK:1 CE:1 AR:1 CO:0 Q:01111000
 324 CK:0 CE:1 AR:1 CO:0 Q:01111000
 326 CK:1 CE:1 AR:1 CO:0 Q:01111001
 328 CK:0 CE:1 AR:1 CO:0 Q:01111001
 330 CK:1 CE:1 AR:1 CO:0 Q:10000000
 332 CK:0 CE:1 AR:1 CO:0 Q:10000000
 334 CK:1 CE:1 AR:1 CO:0 Q:10000001
 336 CK:0 CE:1 AR:1 CO:0 Q:10000001
 338 CK:1 CE:1 AR:1 CO:0 Q:10000010
 340 CK:0 CE:1 AR:1 CO:0 Q:10000010
 342 CK:1 CE:1 AR:1 CO:0 Q:10000011
 344 CK:0 CE:1 AR:1 CO:0 Q:10000011
 346 CK:1 CE:1 AR:1 CO:0 Q:10000100
 348 CK:0 CE:1 AR:1 CO:0 Q:10000100
 350 CK:1 CE:1 AR:1 CO:0 Q:10000101
 352 CK:0 CE:1 AR:1 CO:0 Q:10000101
 354 CK:1 CE:1 AR:1 CO:0 Q:10000110
 356 CK:0 CE:1 AR:1 CO:0 Q:10000110
 358 CK:1 CE:1 AR:1 CO:0 Q:10000111
 360 CK:0 CE:1 AR:1 CO:0 Q:10000111
 362 CK:1 CE:1 AR:1 CO:0 Q:10001000
 364 CK:0 CE:1 AR:1 CO:0 Q:10001000
 366 CK:1 CE:1 AR:1 CO:0 Q:10001001
 368 CK:0 CE:1 AR:1 CO:0 Q:10001001
 370 CK:1 CE:1 AR:1 CO:0 Q:10010000
 372 CK:0 CE:1 AR:1 CO:0 Q:10010000
 374 CK:1 CE:1 AR:1 CO:0 Q:10010001
 376 CK:0 CE:1 AR:1 CO:0 Q:10010001
 378 CK:1 CE:1 AR:1 CO:0 Q:10010010
 380 CK:0 CE:1 AR:1 CO:0 Q:10010010
 382 CK:1 CE:1 AR:1 CO:0 Q:10010011
 384 CK:0 CE:1 AR:1 CO:0 Q:10010011
